,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,Rp_ew_cc,Rp_ew_fi,Rp_vw_cc,Rp_vw_fi
04/12/1991,-0.13,0.35,-0.57,0.25,0,0.018,0.59,-0.4,0.001675441,0.002393488,0.001333551,0.001972809
05/12/1991,-0.55,0.23,-0.49,-0.15,-0.1,0.018,0.37,-0.29,-0.003459376,-0.004941966,-0.002881843,-0.004260578
06/12/1991,0.37,-0.07,-0.38,0.07,0.17,0.018,0.45,-0.18,-0.000727187,-0.001118749,-0.000687675,-0.001104775
09/12/1991,-0.23,-0.16,-0.35,0.55,-0.32,0.018,0.63,-0.57,0.004828848,0.007428998,0.004701139,0.007731413
10/12/1991,-0.12,-0.36,-0.26,0.5,-0.39,0.018,0.01,-0.37,0.003530033,0.005042904,0.003741846,0.004353897
11/12/1991,-0.19,-0.42,0.12,0.28,-0.05,0.018,-0.26,-0.13,0.003360117,0.004800167,0.002798296,0.004733127
12/12/1991,0.92,-0.33,0.12,0.04,0.13,0.018,0.16,1.03,0.000681909,0.000974156,0.000396247,-9.09E-05
13/12/1991,0.72,0.25,0.06,0,0.1,0.018,0.45,1.06,0.006641764,0.009488234,0.006185856,0.009556442
16/12/1991,0.16,0.62,-0.82,0.25,-0.4,0.018,0.59,0.04,0.00308051,0.004400729,0.00289726,0.00356959
17/12/1991,-0.5,0.1,-0.82,0.26,-0.51,0.018,0.21,-0.77,0.002292941,0.003275631,0.002322349,0.004320237
18/12/1991,0.11,-0.21,-0.34,0.35,-0.09,0.018,-0.16,-0.02,-0.002638169,-0.003768814,-0.002757579,-0.004030368
19/12/1991,-0.4,-0.22,-0.02,0.24,0.2,0.018,-0.15,-0.27,-0.005418425,-0.007740608,-0.005143091,-0.007526546
20/12/1991,0.99,-1.22,0.61,0,0.29,0.018,-0.14,0.2,0.003781402,0.005041869,0.0035717,0.004850693
23/12/1991,2.28,-1.29,0.73,0.13,-0.07,0.018,0.21,0.46,0.004111556,0.005482074,0.003994227,0.005426839
24/12/1991,0.81,0.18,0.57,0.07,0.07,0.018,0.12,0.73,-0.00088417,-0.0010402,-0.001725299,-0.002054446
26/12/1991,1.44,0.19,-0.04,0.21,-0.17,0.018,0.79,-0.35,0.001941521,0.002426902,0.001917728,0.002433015
27/12/1991,0.58,0.52,-0.41,0.19,-0.29,0.018,0.44,0.08,0.003910404,0.004888005,0.00311117,0.003945101
30/12/1991,2.04,0.11,-0.36,-0.28,-0.49,0.018,0.89,-0.67,-0.002709841,-0.003387301,-0.002689149,-0.003407127
31/12/1991,0.63,0.49,0.12,-0.27,0.14,0.018,-0.69,1.64,-0.001979719,-0.002639625,-0.001590475,-0.002170191
02/01/1992,-0.1,0.06,0.52,-0.15,0.25,0.015,-1.19,2,0,0,0,0
03/01/1992,0.55,0.62,0.16,-0.24,0.05,0.015,0.09,0.48,0,0,0,0
06/01/1992,-0.01,1.11,-0.02,-0.42,-0.16,0.015,0.11,0.13,0.00063637,0.002545481,0.00063637,0.002545481
07/01/1992,0.05,0.73,-0.09,-0.1,-0.01,0.015,0.53,-0.01,0.001592425,0.006369701,0.001591784,0.006355012
08/01/1992,0.38,0.88,-0.69,0.03,0,0.015,0.56,-0.86,0.000874776,0.003499106,0.000866854,0.003444433
09/01/1992,0.23,1.18,-0.69,0.34,-0.19,0.015,0.87,-0.68,-9.96E-05,-0.000398582,-0.000102728,-0.000407138
10/01/1992,-0.63,0.1,0.48,-0.14,0.3,0.015,-0.21,1.11,-0.001068045,-0.004272179,-0.001062184,-0.004211015
13/01/1992,-0.14,0.56,-0.05,-0.2,0.11,0.015,-0.02,0.08,-0.001631021,-0.008155106,-0.001635239,-0.008174874
14/01/1992,1.32,-0.03,0.27,0.07,0.29,0.015,-0.34,-0.41,0.002229285,0.006369385,0.002208052,0.006332633
15/01/1992,0.31,0.5,1.58,-0.27,0.67,0.015,-0.9,-0.51,-0.003194554,-0.007986385,-0.003173167,-0.007933142
16/01/1992,-0.62,0.64,1.9,-0.03,0.58,0.015,-2.2,-0.29,-0.002501223,-0.006253058,-0.002535536,-0.006369435
17/01/1992,0.07,0.42,-0.23,0.28,-0.06,0.015,-0.82,0.64,0.004239669,0.010599174,0.004195817,0.010580839
20/01/1992,-0.66,0.22,0.5,-0.36,0.6,0.015,-0.74,0.91,-0.00223414,-0.004964756,-0.002250178,-0.00501129
21/01/1992,-1.15,-0.68,0.36,-0.04,0.62,0.015,-0.49,1.96,-0.001058487,-0.001924521,-0.001000966,-0.001830711
22/01/1992,1.39,-0.03,-0.83,0.36,-0.46,0.015,0.99,-0.12,-0.000582197,-0.001058541,-0.000502318,-0.000919476
23/01/1992,-0.43,0.88,0.07,-0.23,0.04,0.015,0.68,-0.12,NaN,NaN,NaN,NaN
24/01/1992,0.14,0.29,-0.07,0.34,-0.16,0.015,0.16,0.27,NaN,NaN,NaN,NaN
27/01/1992,-0.15,0.02,1.07,-0.38,0.45,0.015,-0.69,-0.1,-0.004058295,-0.006243531,NaN,NaN
28/01/1992,0,-0.05,0.66,0,0.37,0.015,-0.1,-0.23,0.00285822,0.004763701,NaN,NaN
29/01/1992,-1.02,0.44,-0.13,-0.03,-0.06,0.015,0.3,0.94,-0.001482182,-0.002117403,NaN,NaN
30/01/1992,0.43,0.26,-0.33,-0.15,-0.43,0.015,0.5,0.07,-0.006708761,-0.008945015,NaN,NaN
31/01/1992,-0.52,0.79,-0.11,0.14,0.18,0.015,0.51,0.24,-0.001885021,-0.002356277,NaN,NaN
03/02/1992,0.25,0.09,0.35,0.17,-0.08,0.015,-0.03,-0.02,0.003086315,0.003857894,NaN,NaN
04/02/1992,1.01,0.05,-0.04,0.53,-0.04,0.015,0.39,-0.14,0.006663886,0.008329857,NaN,NaN
05/02/1992,0.24,0.52,0.04,0.26,-0.2,0.015,0.58,-0.28,-0.003268174,-0.004085218,NaN,NaN
06/02/1992,0.04,0.3,0.6,-0.12,0.2,0.015,-0.13,-0.2,-0.000910343,-0.001070992,NaN,NaN
07/02/1992,-0.59,0.43,0.23,-0.01,0.31,0.015,-0.35,0.12,0.002405871,0.002830436,NaN,NaN
10/02/1992,0.46,-0.38,0.73,0.13,0.17,0.015,-0.83,-0.46,0.001430925,0.001683441,NaN,NaN
11/02/1992,0.02,0.05,0.45,0.05,0.26,0.015,-0.49,-0.2,-0.004198878,-0.004939856,NaN,NaN
12/02/1992,0.89,0.17,-0.09,-0.26,-0.5,0.015,0.04,0.05,-0.001147584,-0.001350099,NaN,NaN
13/02/1992,-0.83,0.34,0.51,-0.02,0.33,0.015,-0.13,-0.12,-0.000536086,-0.00063069,NaN,NaN
14/02/1992,-0.23,0.17,0.87,-0.05,0.49,0.015,-0.52,-0.21,0.001161571,0.001366554,NaN,NaN
18/02/1992,-1.2,0.23,1.82,-0.59,0.81,0.015,-0.6,-0.75,0.002395712,0.002818484,NaN,NaN
19/02/1992,-0.01,-0.97,0.93,0.2,0.17,0.015,-0.24,-0.21,0.002693585,0.003168924,NaN,NaN
20/02/1992,1.28,-0.04,-0.15,0.07,-0.04,0.015,0.55,0.02,5.16E-05,6.46E-05,NaN,NaN
21/02/1992,-0.52,0.39,0.06,0.03,-0.04,0.015,-0.08,0.15,0.002035372,0.002544215,NaN,NaN
24/02/1992,-0.05,-0.6,0.16,0.22,0.16,0.015,-0.32,0.46,0.00135717,0.001596671,NaN,NaN
25/02/1992,-0.44,-0.28,-0.42,0.11,0.08,0.015,-0.01,0.85,-0.002138926,-0.002516383,NaN,NaN
26/02/1992,1.18,0.05,-0.42,-0.01,-0.29,0.015,1.08,0.53,-0.001443938,-0.001698751,NaN,NaN
27/02/1992,-0.13,0.56,0.2,-0.04,-0.17,0.015,0.12,0.38,0.000350425,0.000412265,NaN,NaN
28/02/1992,-0.27,0.24,0.28,-0.36,0.36,0.015,0.13,0.21,0.002557642,0.003008991,NaN,NaN
02/03/1992,0.09,0.24,0.3,-0.24,0.08,0.015,0.11,-0.04,-0.000356645,-0.000419582,NaN,NaN
03/03/1992,0.03,0.1,0.45,-0.27,0.21,0.015,-0.58,-0.25,-0.002806387,-0.003301632,NaN,NaN
04/03/1992,-0.74,0.46,0.29,-0.09,0.13,0.015,-0.18,-0.24,0.001214939,0.00142934,NaN,NaN
05/03/1992,-0.88,-0.4,0.02,0.07,-0.01,0.015,-0.24,0.42,-0.003015436,-0.003547572,NaN,NaN
06/03/1992,-0.56,-0.12,-0.23,-0.03,0.04,0.015,-0.66,0.46,0.001207965,0.001509956,NaN,NaN
09/03/1992,0.15,-0.3,0.22,0.01,0.18,0.015,-0.05,0.44,0.001113041,0.001391301,NaN,NaN
10/03/1992,0.55,0.15,-0.11,-0.1,-0.15,0.015,0.66,0.49,-0.002315111,-0.002893889,NaN,NaN
11/03/1992,-0.73,0.05,0.13,0.13,0.22,0.015,-0.24,0.07,-0.000819468,-0.001024335,NaN,NaN
12/03/1992,-0.13,-0.3,-0.13,-0.05,-0.39,0.015,-0.16,0.21,-4.74E-05,-6.32E-05,NaN,NaN
13/03/1992,0.44,-0.12,0.01,0.01,0.02,0.015,0.12,0.34,0.000763734,0.001018312,NaN,NaN
16/03/1992,0.04,-0.37,0.19,0.21,0.14,0.015,0.21,0.08,0.001426144,0.00178268,NaN,NaN
17/03/1992,0.74,-0.21,0.02,0.15,-0.08,0.015,0.83,0.19,-0.001097051,-0.001290648,NaN,NaN
18/03/1992,-0.02,0.59,0.8,-0.42,0.32,0.015,0.25,0.35,-0.002199587,-0.00258775,NaN,NaN
19/03/1992,0.17,-0.04,0.64,-0.18,0.22,0.015,0.23,0.11,0.004673232,0.00549792,NaN,NaN
20/03/1992,0.18,-0.27,0.31,0.07,0.21,0.015,0.01,-0.19,-0.000563662,-0.000663131,NaN,NaN
